normalized_company,label
WMS Weinevents & Marketing Services GmbH,0
Delware UG ( haftungsbeschrankt ),0
Elektro Schmid e . K .,0
Asco Numatics GmbH,0
Country u . Mode GmbH,0
La Luna 2 4 GmbH & Co . KG,0
steelcon Regensburger Bau konstruktion GmbH,0
Villa Gerstenberg GmbH,0
E . T . H . Esser - Textil - Handels - GmbH,0
Ginotex GmbH,0
Dowd Bedachungen GmbH,0
"Gaisendrees GmbH Treppen , Tore , Turen",0
win : pro Invent GmbH & Co Sieb ente bioenergy KG,0
Bodywave Service GmbH,0
ProCura Beratung netzwerk GmbH,0
Friedrich - Baur - GmbH,0
Profi Design GmbH,0
EE Wind park Flerzheim GmbH & Co . KG,0
DG Kunststoff technik GmbH,0
Briese Schiffahrts GmbH & Co . KG MS Bantsbalje,0
ever clean 2 4 GmbH,0
Cafehaus Besch GmbH,0
AptidA Unternehmer gesellschaft ( haftungsbeschrankt ),0
W & S Limited & Co . KG,0
Fliesen Eckardt Verwaltungs GmbH,0
DBS Training + Consulting GmbH,0
BabyOne Beteiligungs - Verwaltungs GmbH,0
CLW Clausthaler Laser - und Werk stoff technik GmbH,0
K . H . S . Pharma Holding GmbH,0
Mobel Franchise - System GmbH,0
Beringer AG,0
planTEK Heidelberg GmbH,0
Anda Handels - und Speditions GmbH,0
"ddc - Dethloff Diagnostik & Consulting Maschinen diagnose , Mess - u . Sensor technik GmbH",0
ErSol Solar strom GmbH,0
Gerhard Engels e . K .,0
ESADA Immobilien Geschafts fuhrung GmbH,0
Zabel Grundstucks gesellschaft mbH & Co . KG,0
BT Personal GmbH,0
Okabashi Deutschland GmbH,0
Weck Tiefbau GmbH,0
Osten tor - Apotheke Inh . Gabriele Jehn,0
Tischlerei Kaiser Verwaltungs GmbH,0
Advanced living Inhaber : Michael Horling e . K,0
Philipp Beteiligungs GmbH,0
G & G Gastronomie GmbH & Co . Frankfurter Allee 44 KG,0
UNI COMPOSITES GmbH,0
AKH Alpen blick Klinik Hotzenplotz GmbH & Co . KG,0
ADM Dienst leistungen GmbH & Co . KG,0
Personal - u . Immobilien management UG ( haftungsbeschrankt ),0
Nagel design und Fuss pflege Annette Spieker e . K .,0
Haus technik - Montagen GmbH,0
Peter Zufle GmbH,0
KSI Salomon + Steinborn GmbH,0
Meier Transport - Service GmbH,0
TeamHoff UG ( haftungsbeschrankt ),0
BHI GmbH & Co . KG,0
RIAG Immobilien besitz Erste GmbH,0
D & L Dienstleistung und Logistic - 4 You GmbH,0
REWE - Markt Sieghart oHG,0
Altes Kreis haus Ahaus GmbH & Co . KG,0
Elektro Burs GmbH,0
Stadt werke Wiehl Gesellschaft mit beschrankter Haftung,0
Trend Network Gesellschaft fur digitales Marketing und Markt forschung Aktien gesellschaft,0
BAUDIS Aktien gesellschaft Bau dienst - und Service leistungen,0
City Select Immobilien Vermogens verwaltung GmbH,0
Probau UG ( haftungsbeschrankt ),0
MWE Bau gesellschaft mbH,0
Dahlke erste Vermogens verwaltung GmbH,0
ADB an der Brugge GmbH,0
Surflay Nanotec GmbH,0
DeBo Montage bau Verw . - GmbH,0
GZ Bad Kissingen - Verwaltungs GmbH,0
GMIT GmbH,0
Amend Restaurant betrieb Amsinckstrasse GmbH & Co . KG,0
bioleague Verwaltungs GmbH,0
Gann & Raith Winter garten GmbH & Co . KG,0
RMA - Asphalt GmbH,0
Kurt Tweesmann GmbH,0
Sigma Immobilien Vermittlungs GmbH,0
Tennis park Stein bach GmbH,0
EFFECT Bau GmbH,0
Chemnitzer Gesellschaft fur Wohnung bau mit beschrankter Haftung,0
Cafe Schaper Inh . Monika Fanenstich e . Kfr .,0
Gebr . Rotzel - Reise dienst OHG,0
EKS - Technik GmbH,0
Energie GmbH Verbands gemeinde Dierdorf,0
Newsmax Medien Gesellschaft mbH,0
Norbert Gres GmbH,0
Treugeno GmbH Wirtschaft prufung gesellschaft,0
Blick GmbH,0
Pirminius - Werk gGmbH,0
Elektro - Zorbau GmbH,0
Sonnen eck Wein handels - Gesellschaft mit beschrankter Haftung,0
Container dienst Wagner Gesellschaft mit beschrankter Haftung,0
GDE Gesellschaft fur dezentrale Energie systeme mbH,0
FrommeConsulting GmbH,0
Metzgerei Cantz GmbH,0
Dr . Thilenius Management GmbH,0
IMVA Grundstucks GmbH & Co . KG,0
C . A . Moller GmbH,0
BTVG Wurmtal - Unternehmer gesellschaft ( haftungsbeschrankt ),0
Unterelbe Beteiligung gesellschaft Breuer & Co . OHG,0
Trantower Agrar GmbH & Co . KG Vorpommern,0
Salvemus gemeinnutzige Gesellschaft fur medizinische Versorgung zentren mbH,0
Herzoglich Sachsische Vermogens verwaltung GmbH,0
CD Recycling GmbH,0
Traufen GmbH,0
Oxalis GmbH,0
Klemm + Sohn GmbH & Co . KG,0
Reh GmbH & Co . KG,0
Activ - Sport Budelsdorf Verwaltungs GmbH,0
S & H Bau unternehmen GmbH,0
Gastro Il Quinto UG ( haftungsbeschrankt ),0
Birgitt Stedtfeld Vermogens GmbH & Co . KG,0
AdvantiPro GmbH,0
Schafer Trennwand systeme GmbH,0
DAUTEL BETEILIGUNGS - GMBH,0
PCS GmbH,0
C . G . Verwaltungs GmbH,0
Bucher & Kunst SV GmbH,0
BBR rail automation GmbH,0
Expa Objekt Verwaltungs GmbH,0
Sport und Freizeit GmbH Offenbach,0
BG Beteiligung GmbH,0
KIMESSA GmbH,0
Silica Anlagen bau GmbH & Co . KG,0
ABS Meiller GmbH,0
Stresow Zucht Eins GmbH,0
Mobel haus G . L . Rothing GmbH,0
Wolff - Energie park GmbH & Co . KG,0
TechWerks GmbH,0
Elektro - Heikaus Gesellschaft mit beschrankter Haftung,0
GISA GmbH,0
Btplustel GmbH,0
TAD INOX SERVICE GMBH,0
C . Stein weg Gesellschaft mit beschrankter Haftung,0
GETS - Logistik GmbH,0
Auto haus M . Grundel e . K,0
Acker manns Handels kontor GmbH,0
TriStar Vermogens verwaltung GmbH,0
HS Helios GmbH & Co . Photovoltaik KG,0
Apotheke im real e . K .,0
Armin Stoltenberg Grundstucks erschliessung gesellschaft mbH,0
Westpfalzische Schrott handels gesellschaft mbH,0
LUMA Verwaltungs UG ( haftungsbeschrankt ),0
D . M . BAUCONSULTING GmbH,0
CORDELIA Verwaltung gesellschaft mbH,0
Auto handels & Technik GmbH Zschopau,0
Kultur club Media GmbH,0
Corinna Mosler - Jakobsohn Kosmetik vertrieb e . K .,0
my Deco GmbH,0
Photon Energy Operations DE SW GmbH,0
CONLINK Versicherung dienste GmbH,0
Michael Christ Unternehmer gesellschaft ( haftungsbeschrankt ),0
Bibliothek verband Mittel franken e . V . - Bucher dienst,0
MBVI - UG ( haftungsbeschrankt ),0
Onel Trade GmbH,0
Bernini Milano Retail GmbH,0
Gebaude reinigung betrieb Elfriede Mohle KG,0
Cyoshi Crucial GmbH,0
Sascha Schneeweis UG ( haftungsbeschrankt ),0
Gebruder Haldan GmbH & Co . KG,0
Desjoyaux Pools Freising GmbH,0
PS - Logistik e . Kfr .,0
Reffelmann Liegenschaften Verwaltungs GmbH,0
SieAne Information systeme & Consulting GmbH,0
Ferien wohnung - und Zimmer vermietung Inhaber Christina Oelgardt e . K .,0
Markl Verwaltungs - GmbH,0
B . F . G . Beton - Forder gesellschaft mit beschrankter Haftung Aachen - Duren - Julich,0
Michel - Treuhand GmbH Wirtschaft prufung gesellschaft,0
BON POOL IDM Franz GmbH,0
1 3 . EDG Grund besitz gesellschaft mbH & Co . KG,0
Konrad Stippler Vermogens verwaltung GmbH & Co . KG,0
PCP - Finanz planung e . K .,0
Gebr . Sommer berg GmbH,0
Das Stadtidyll Stefan Heinrich e . K .,0
Achte MPC Best Select Private Equity GmbH & Co . KG,0
CPS Computer vertrieb programmierung - Service GmbH,0
Apomedicus Vermietungs - und Beratungs GmbH,0
ACZEPTA Haus St . Landelin GmbH,0
Contempora Musik produktion und Musik verlag GmbH,0
GIK Gesellschaft fur Immobilien und Kapital verwaltung mbH & Co . EINKAUFS ZENTRUM LAMPERTHEIM KG,0
ELINKA Maintenance GmbH,0
Johann Zillinger Mobel haus Gesellschaft mit beschrankter Haftung,0
El Conquistador UG ( haftungsbeschrankt ),0
cbtec e . K .,0
Diamant 1 4 2 . ( Einhundertzweiundvierzigste ) GmbH,0
Frank Pittner Verwaltungs GmbH,0
Erste BLPG Beteiligungs - und Lizenzpool GmbH,0
Bilfinger Real Estate Fonds management GmbH,0
Burchert GmbH,0
ASEKO GmbH,0
Cordes & Graefe Bremen KG,0
"Hans Sporer GmbH , Rosen heim",0
sportsresearch & analytics GmbH Datamanagement & Advanced Statistical Research,0
Adunia Deluxe GmbH,0
ratisbona rent a car GmbH,0
Berg mann OHG Brennstoffe - Heizol - Transporte,0
tranxx schwebe bad & massage welt GmbH,0
MA Gebaude management GmbH,0
AW Construct Planungs KG,0
BI Gaststatten betriebs GmbH,0
Spranz GmbH,0
Sozial - und Sonder bauten GmbH,0
NSCGLOBAL GmbH,0
BONUS Nord West GmbH,0
P . V . U . Service und Consulting Gesellschaft mit beschrankter Haftung,0
Terra Property GmbH & Co . KG,0
Johann Edenhofer Verwaltungs - GmbH,0
Konig GmbH - Stahl bau - Schlosserei,0
Stryker Beteiligungs GmbH,0
Frey Treffpunkt Verwaltung gesellschaft mbH,0
Benchpark GmbH & Co . KG,0
Emil Minuth & Co . Abwicklung gesellschaft mbH i . L .,0
"Georg Haimerl , Inh . Martina Haimerl e . K .",0
BEKA Holz werk AG,0
Move & Work Interactive GmbH,0
Dr . Kramps Beteiligungen GmbH,0
Aquacert KG,0
Nivona Apparate GmbH,0
bioenergy systems GmbH,0
E . Richard Thieme GmbH,0
Markt jagd GmbH,0
TACT Handels GmbH,0
Oasis Travel GmbH,0
Vangerow GmbH,0
H & S Abbruch GmbH,0
A & H Bau GmbH,0
BSS Verwaltung gesellschaft mbH,0
Karola Kruger Beratungs UG ( haftungsbeschrankt ),0
Kusin Transporte Gesellschaft mit beschrankter Haftung,0
Backsolution - Physio UG ( haftungsbeschrankt ),0
Ulmer - Kemo GmbH & Co . KG,0
Adi ConsumerFinanz GmbH,0
Gebruder Heinz - Herr mann und Georg Michel GmbH,0
Consulting People Unternehmens beratung GmbH,0
Menzel & Paul GMBH Immobilien Consultants,0
Autocentrale ACS GmbH,0
Sultan Palace GmbH,0
DRD Kohlen bergwerk Automation GmbH,0
DayMen Verwaltung gesellschaft mit beschrankter Haftung,0
Bongartz Gesellschaft mit beschrankter Haftung,0
Sunkel Verwaltungs GmbH,0
Tegtmeier Gastronomie UG ( haftungsbeschrankt ),0
banner stop GmbH,0
Augusten felder Wasser kraft - GmbH,0
WS Industrie bedarf e . K .,0
AGRAVIS GUS Holding GmbH,0
Elektro haus Dietrich Haag GmbH,0
tohacris GmbH,0
CCM Verwaltungs GmbH,0
Rau Haus technik GmbH,0
Diakonische Einrichtungen der Evangelischen Frauen hilfe im Rheinland gGmbH,0
BREBUS Bremen Business Centers - und Beteiligungs KG,0
WHAANAU Veranstaltung technik GmbH,0
"Haus verwaltung Stern , Inhaber Frank Bauer e . K .",0
Berolina Bau service - Tiefbau und Landschaft bau GmbH,0
GSA GmbH & Co . Immobilien Verwaltungs KG,0
Neuhauser Berlin Immobilien GmbH & Co . KG,0
Schutzen haus Stadtroda Betriebs gesellschaft UG ( haftungsbeschrankt ),0
Netz giganten - IT Solutions GmbH,0
Michael Loffel holz GmbH,0
Elite - Gewerbe park GmbH,0
Drebber Burger wind park GmbH & Co . KG,0
IVS Direct Mail Service + Druckerei Abele GmbH,0
EPG GmbH Planung buro fur Elektro - und Gebaude technik,0
Widmann & Bauerle GmbH,0
JRH Jurgen Ronald Hill e . K .,0
F + A Haus bau GmbH,0
Ulrich Schumacher & Co . GmbH,0
ProDialog GmbH,0
Hans Bohne Waren haus KG,0
Hager International GmbH,0
bc - technology GmbH,0
HSD Industrie belage GmbH,0
connected 2 000 Gesellschaft fur digitale Medien mbH,0
ad - cetera Werbe agentur Dussel dorf GmbH & Co . KG,0
Casetta - Mode boutique Renate Hass mann,0
Roth Steuerung technik GmbH,0
"Dipl . - Ing . Harald Ranft Gesellschaft von Architekten mbH , Berlin",0
DOMDECADE UG ( haftungsbeschrankt ),0
John Sisk & Son GmbH,0
CMZ Germany GmbH,0
Damazyn Internationale Transporte GmbH,0
M . G Lifetime GmbH,0
Beziehung dinge UG ( haftungsbeschrankt ),0
HKI Immobilien GmbH & Co . KG,0
Krieg Consult med GmbH & Co . KG,0
Raiffeisen Verwaltung gesellschaft Aschaffenburg mbH .,0
YourMakler GmbH & Co . Verkauf und Vermietung von Immobilien KG,0
bethinki UG ( haftungsbeschrankt ),0
Kanga Autofairmietung UG ( haftungsbeschrankt ),0
Schlachthof - Torgau - GmbH Gesellschaft mit beschrankter Haftung,0
Hanke Pruf technik Gesellschaft fur Prufstand und Automatisierung technik mbH,0
HB Recycling GmbH,0
Berg hof Holding GmbH & Co . KG,0
INFORMA Verwaltung gesellschaft mbH,0
Wohnungs - Genossenschaft Koln 1 8 9 6 eG,0
TONBELLER Info ware GmbH,0
Gast haus Bund GmbH,0
Ferdinand Lusch GmbH & Co . KG,0
4 HPL Management GmbH,0
SHS Sudharzer Service gesellschaft mbH,0
WMCD Gesellschaft fur Handel & Projekt entwicklung mbH,0
Il vecchio tribunale Ristorante GmbH,0
Kanitz Sanitar und Heizungs GmbH,0
v . T . Luft technik GmbH,0
Projekt gesellschaft Borgmannstrasse 1 6 mbH,0
Drachen fels see 9 6 2 . V V GmbH,0
Binz Verwaltungs - GmbH,0
Scarpato GmbH,0
BLITZ Internet GmbH,0
Bridget Bell - Country Style e . K .,0
Diener automation Verwaltungs - GmbH,0
Steiner ( Deutschland ) GmbH,0
Kayser Landschaft bau GmbH,0
Erste Maxxtec Projekt GmbH & Co . KG,0
Salux Netzwerk GmbH,0
Restaurant La Gamba Conrado Canet Salgado und Co . Gastronomie - und Handels gesellschaft KG,0
KKP Haus verwaltung GmbH,0
Ebitsch Solar Verwaltungs UG ( haftungsbeschrankt ),0
FOLIEN PRINT RAKO GmbH,0
D & W Kies - und Sand abbau GmbH,0
ATV Ausbildung zentrum fur Transport u . Verkehrs wesen - GmbH,0
SvK internationales kaufmannisches Projekt management GmbH,0
Euro - Cities Aktien gesellschaft,0
Veni Unternehmens beratung GmbH,0
B . L . E . Immobilien UG ( haftungsbeschrankt ),0
RStores GmbH,0
amily GmbH,0
Pokorny Bedachungs GmbH,0
DNA Tours GmbH,0
Hamacher Projekt - Entwicklung gesellschaft mbH,0
Auto service Becker e . K .,0
SUNTANA Sonnen studio OHG,0
Artos elektrotechnische Grosshandels Gesellschaft mit beschrankter Haftung,0
Abfall wirtschaft Nordharz GmbH,0
H . M . Logistik UG ( haftungsbeschrankt ),0
Controlution GmbH,0
Tier produktion Haffkuste GmbH,0
en . regio wind GmbH,0
Boger Verwaltungs - GmbH,0
Gesellschaft fur Verbraucher informationen mbH .,0
CONCEPT HOME BOYER UG ( haftungsbeschrankt ),0
SM SACHSEN MOTOR GmbH,0
EDITION TONGER GmbH,0
thermik sensor technics GmbH,0
Funk Dauble AG,0
MotheR Verwaltungs - GmbH,0
ESK Einrichtung Service Kitzrow GmbH,0
Xaver Scheingruber und Partner GmbH,0
pharma : med Solutions GmbH,0
ML 55 Trust Verwaltungs GmbH,0
AudioVideum e . K .,0
Olympia Spiel automaten verwaltung gesellschaft mbH,0
Drachsler Immobilien UG ( haftungsbeschrankt ) & Co . KG,0
GUMA Gesellschaft fur Unternehmens marketing mbH,0
GKB Bau - Management Perle berg GmbH,0
FC Schalke 0 4 Arena Management GmbH,0
"Andreas Heckelmann Garten - , Tief - und Landschaft bau / Pflaster hand werks betrieb e . K .",0
Michael Wolf oHG,0
cor 3 6 . GmbH & Co . KG,0
REDINET Burgen land GmbH,0
SHS - Stapler - Handels - und Service GmbH,0
Martin Gans GmbH,0
VTplus GmbH,0
Huhtamaki Achte Beteiligungs GmbH,0
Hungener Kase scheune GmbH,0
ANTAN RECONA GmbH & Co . 4 . Vermogens verwaltung KG,0
NEW LINE Brand Communication GmbH,0
Brando Verwaltungs GmbH,0
Kaddy Services & More Inhaber Michael Bar wald e . K .,0
Intertitle Films GmbH,0
Wippertus - Bau service Kolleda GmbH,0
Ost 2 rad Verwaltungs GmbH,0
Die Druckwerker GmbH,0
 Gaststatte Zur Linde  Inhaber Mandy Kohler e . K .,0
Losse Verwaltungs GmbH,0
Medien technik B & H GmbH,0
Janitzki Consult UG ( haftungsbeschrankt ),0
Weizen feld Grundstucks gesellschaft mbH,0
Dr . Franzen Grundstucks verwaltung GmbH,0
Wind power Pilsach 4 GmbH & Co . KG,0
Sixth Sense GmbH,0
CFC INFORMATION TECHNOLOGIES DEUTSCHLAND GmbH,0
Sol - Invest Bar GmbH,0
Pamatec Honnige Papier maschinen technik GmbH,0
Korrosions - und Bau schutz Heinrich Schmid Verwaltungs - GmbH,0
Bau - Buro 2 4 Unternehmer gesellschaft ( haftungsbeschrankt ),0
SGV GmbH,0
UNI GmbH & Co . KG Betriebs gesellschaft Korner,0
Jakob Schlimbach GmbH & Co . KG,0
Orthopadie - Schuh technik Empor Laube gast OHG,0
nidsa . net GmbH,0
DPV GmbH,0
smartSKIN GERMANY UG ( haftungsbeschrankt ),0
NOSCO Grundstucks - Vermietung gesellschaft mbH & Co . Objekt Alzey KG,0
DLC Oschersleben GmbH,0
CardConcept Plus UG ( haftungsbeschrankt ),0
"HUMARES GmbH Forschung , Entwicklung , Herstellung und Vertrieb Elektronisch - medizinischer Gerate",0
ALBA Nord GmbH,0
"Credo UG ( haftungsbeschrankt ) Marketing , Logistics & Consulting Company",0
Depolt Immobilien Verwaltung gesellschaft mbH,0
GMH Kran technik GmbH,0
DTH Delphi Trading House GmbH,0
DBG Druckerei - Betriebs - GmbH,0
C & W Vermogens beteiligung KG,0
Bio energie Schwinge Verwaltungs GmbH,0
Pusch Wahlig Legal Partnerschaft von Rechts anwalten,0
Gent . e . K .,0
FABIUS Privatarztliches Abrechnung institut GmbH,0
HL Mitarbeiter - Beteiligung gesellschaft mbH,0
ATEC Personal dienst leistungen GmbH,0
Becker & Karsten UG ( haftungsbeschrankt ),0
Ambulante Krankenpflege und Haus pflege Gatz und Zippel GmbH,0
Stil & Kamm GmbH,0
Feld mann Verwaltung gesellschaft mbH,0
Deutscher Notar verlag Geschafts fuhrung - GmbH - Fach verlag fur Notare,0
A . T . U Auto - Teile - Unger Zweite Handels UG ( haftungsbeschrankt ),0
Vacura GmbH,0
Holz Kemper GmbH & Co . KG,0
FLEX Fonds Objekt gesellschaft Braunsbedra KG,0
industria herbarum Gesellschaft fur Umwelt technologien UG ( haftungsbeschrankt ),0
Frauenrath Bau GmbH & Co . KG,0
INKO Verwaltungs GmbH,0
Manoa Ventures GmbH,0
H & H Personal dienst GmbH,0
Montage - Service - Navratil GmbH,0
Konradin IT - Verlag GmbH,0
LoGeTec Chemie & Technik e . K .,0
BWG Burger wind park Gross beeren GmbH,0
Siebte SUDEWO Verwaltungs GmbH,0
Warburg Pincus Deutschland GmbH,0
HUSKELAPP Vermogens verwaltung gesellschaft mbH,0
VON SCHRADER Reinigung maschinen Gesellschaft mbH,0
MoneVita GmbH,0
"Contreu Unternehmens beratung gesellschaft mbH , Wirtschaft prufung gesellschaft",0
ARTIC GmbH,0
EuroSoft System haus GmbH,0
Markt - Apotheke Inhaberin Doris Mostofizadeh - Haghighi e . Kfm .,0
Rettinger GmbH,0
BAUSEN GmbH,0
